station,meas_wse,pred_time_index,pred_date,pred_cell_id,pred_reach_id,pred_reach_order,pred_river,pred_hecras_reach,pred_station_m,pred_length_m,pred_area_m2,pred_discharge_m3s,pred_water_surface_m,pred_depth_m,pred_velocity_ms,pred_flow_area_m2,pred_top_width_m,pred_hydraulic_radius_m,pred_csi,pred_temperature_c,pred_turbidity_ntu,pred_hiding_cover,pred_feeding_cover,pred_spawning_cover,pred_hydraulic_source,pred_manning_n,pred_slope,wse_error_m
4894.123,348.842,7,2021-09-08,clinch_upper_reach_4893_771,clinch_upper_reach,1,Clinch River,Upper Reach,4893.771,45.30899999999929,2724.985516200206,14.32,348.8597158545472,1.3261862994126907,0.17953898260743778,79.75983706731088,60.142256862880416,1.3189006349535963,0.5705045082528799,12.0,1.0,0.25,0.39967657788850797,0.15,usgs-hecras-geometry-openlimno-builtin-1d,0.060000000000000005,8.02300850165915e-05,0.017715854547191157
4893.123,348.842,7,2021-09-08,clinch_upper_reach_4893_771,clinch_upper_reach,1,Clinch River,Upper Reach,4893.771,45.30899999999929,2724.985516200206,14.32,348.8597158545472,1.3261862994126907,0.17953898260743778,79.75983706731088,60.142256862880416,1.3189006349535963,0.5705045082528799,12.0,1.0,0.25,0.39967657788850797,0.15,usgs-hecras-geometry-openlimno-builtin-1d,0.060000000000000005,8.02300850165915e-05,0.017715854547191157
4892.123,348.842,7,2021-09-08,clinch_upper_reach_4893_771,clinch_upper_reach,1,Clinch River,Upper Reach,4893.771,45.30899999999929,2724.985516200206,14.32,348.8597158545472,1.3261862994126907,0.17953898260743778,79.75983706731088,60.142256862880416,1.3189006349535963,0.5705045082528799,12.0,1.0,0.25,0.39967657788850797,0.15,usgs-hecras-geometry-openlimno-builtin-1d,0.060000000000000005,8.02300850165915e-05,0.017715854547191157
4891.123,348.842,7,2021-09-08,clinch_upper_reach_4893_771,clinch_upper_reach,1,Clinch River,Upper Reach,4893.771,45.30899999999929,2724.985516200206,14.32,348.8597158545472,1.3261862994126907,0.17953898260743778,79.75983706731088,60.142256862880416,1.3189006349535963,0.5705045082528799,12.0,1.0,0.25,0.39967657788850797,0.15,usgs-hecras-geometry-openlimno-builtin-1d,0.060000000000000005,8.02300850165915e-05,0.017715854547191157
4890.123,348.842,7,2021-09-08,clinch_upper_reach_4893_771,clinch_upper_reach,1,Clinch River,Upper Reach,4893.771,45.30899999999929,2724.985516200206,14.32,348.8597158545472,1.3261862994126907,0.17953898260743778,79.75983706731088,60.142256862880416,1.3189006349535963,0.5705045082528799,12.0,1.0,0.25,0.39967657788850797,0.15,usgs-hecras-geometry-openlimno-builtin-1d,0.060000000000000005,8.02300850165915e-05,0.017715854547191157
4889.123,348.842,7,2021-09-08,clinch_upper_reach_4893_771,clinch_upper_reach,1,Clinch River,Upper Reach,4893.771,45.30899999999929,2724.985516200206,14.32,348.8597158545472,1.3261862994126907,0.17953898260743778,79.75983706731088,60.142256862880416,1.3189006349535963,0.5705045082528799,12.0,1.0,0.25,0.39967657788850797,0.15,usgs-hecras-geometry-openlimno-builtin-1d,0.060000000000000005,8.02300850165915e-05,0.017715854547191157
4888.122,348.842,7,2021-09-08,clinch_upper_reach_4893_771,clinch_upper_reach,1,Clinch River,Upper Reach,4893.771,45.30899999999929,2724.985516200206,14.32,348.8597158545472,1.3261862994126907,0.17953898260743778,79.75983706731088,60.142256862880416,1.3189006349535963,0.5705045082528799,12.0,1.0,0.25,0.39967657788850797,0.15,usgs-hecras-geometry-openlimno-builtin-1d,0.060000000000000005,8.02300850165915e-05,0.017715854547191157
4887.122,348.842,7,2021-09-08,clinch_upper_reach_4893_771,clinch_upper_reach,1,Clinch River,Upper Reach,4893.771,45.30899999999929,2724.985516200206,14.32,348.8597158545472,1.3261862994126907,0.17953898260743778,79.75983706731088,60.142256862880416,1.3189006349535963,0.5705045082528799,12.0,1.0,0.25,0.39967657788850797,0.15,usgs-hecras-geometry-openlimno-builtin-1d,0.060000000000000005,8.02300850165915e-05,0.017715854547191157
4886.122,348.842,7,2021-09-08,clinch_upper_reach_4893_771,clinch_upper_reach,1,Clinch River,Upper Reach,4893.771,45.30899999999929,2724.985516200206,14.32,348.8597158545472,1.3261862994126907,0.17953898260743778,79.75983706731088,60.142256862880416,1.3189006349535963,0.5705045082528799,12.0,1.0,0.25,0.39967657788850797,0.15,usgs-hecras-geometry-openlimno-builtin-1d,0.060000000000000005,8.02300850165915e-05,0.017715854547191157
4885.122,348.842,7,2021-09-08,clinch_upper_reach_4893_771,clinch_upper_reach,1,Clinch River,Upper Reach,4893.771,45.30899999999929,2724.985516200206,14.32,348.8597158545472,1.3261862994126907,0.17953898260743778,79.75983706731088,60.142256862880416,1.3189006349535963,0.5705045082528799,12.0,1.0,0.25,0.39967657788850797,0.15,usgs-hecras-geometry-openlimno-builtin-1d,0.060000000000000005,8.02300850165915e-05,0.017715854547191157
