time_index,date,cell_id,reach_id,reach_order,river,hecras_reach,station_m,length_m,area_m2,discharge_m3s,water_surface_m,depth_m,velocity_ms,flow_area_m2,top_width_m,hydraulic_radius_m,csi,temperature_c,turbidity_ntu,hiding_cover,feeding_cover,spawning_cover,hydraulic_source,manning_n,slope
0,2019-09-24,clinch_upper_reach_4893_771,clinch_upper_reach,1,Clinch River,Upper Reach,4893.771,45.30899999999929,2381.349991781461,3.49,348.0205960661645,0.6154365240804665,0.10789551896292497,32.34610698892169,52.5579905047893,0.6144385567343331,0.5389940683755883,12.0,1.0,0.25,0.38864792393145586,0.15,usgs-hecras-geometry-openlimno-builtin-1d,0.060000000000000005,8.02300850165915e-05
0,2019-09-24,clinch_upper_reach_4848_462,clinch_upper_reach,1,Clinch River,Upper Reach,4848.462,47.2199999999998,2325.3715452183133,3.49,347.90854760221026,0.6399584113987844,0.11074071014901592,31.515058873143893,49.245479568367706,0.638898538566473,0.55776942427036,12.0,1.0,0.25,0.395219298494626,0.15,usgs-hecras-geometry-openlimno-builtin-1d,0.060000000000000005,8.02300850165915e-05
0,2019-09-24,clinch_upper_reach_4799_331,clinch_upper_reach,1,Clinch River,Upper Reach,4799.331,49.625,3047.347401459098,3.49,348.15258610886445,0.560482427679043,0.10140093941563708,34.4178270942311,61.407504311518345,0.5598051196035219,0.49647997956005463,12.0,1.0,0.25,0.37376799284601914,0.15,usgs-hecras-geometry-openlimno-builtin-1d,0.060000000000000005,8.02300850165915e-05
0,2019-09-24,clinch_upper_reach_4749_212,clinch_upper_reach,1,Clinch River,Upper Reach,4749.212,36.8090000000002,2261.651654162985,3.49,348.49712702762906,0.5602418085316327,0.10138605301002158,34.422880626934244,61.44289858901281,0.5596819072980153,0.49632652005805616,12.0,1.0,0.25,0.37371428202031964,0.15,usgs-hecras-geometry-openlimno-builtin-1d,0.060000000000000005,8.02300850165915e-05
0,2019-09-24,clinch_upper_reach_4725_713,clinch_upper_reach,1,Clinch River,Upper Reach,4725.713,25.39850000000024,1745.0721721580987,3.49,348.5928611932666,0.5238458315546336,0.09696535906862983,35.99223509841138,68.70768636565475,0.5234784858476305,0.4677536551478095,12.0,1.0,0.25,0.3637137793017333,0.15,usgs-hecras-geometry-openlimno-builtin-1d,0.060000000000000005,8.02300850165915e-05
0,2019-09-24,clinch_upper_reach_4698_415,clinch_upper_reach,1,Clinch River,Upper Reach,4698.415,27.297999999999774,2136.8524340350177,3.49,348.7138405352554,0.4844386670192603,0.09203286122315876,37.92123762769413,78.27871763627502,0.48404789160546813,0.4363410284440462,12.0,1.0,0.25,0.35271935995541615,0.15,usgs-hecras-geometry-openlimno-builtin-1d,0.060000000000000005,8.02300850165915e-05
0,2019-09-24,clinch_main_stem_4648_18,clinch_main_stem,2,Clinch River,Main Stem,4648.18,48.152000000000044,2649.053904583948,2.62,348.6527078979025,0.5043328932380832,0.09442946553897702,27.745576923958765,55.01441071157887,0.5030778992201381,0.4519924793161165,12.0,1.0,0.25,0.3581973677606408,0.15,usgs-hecras-geometry-openlimno-builtin-1d,0.060000000000000005,8.02300850165915e-05
0,2019-09-24,clinch_main_stem_4600_028,clinch_main_stem,2,Clinch River,Main Stem,4600.028,49.878000000000156,2970.849444708678,2.62,348.6085796927399,0.4806255315846802,0.0915214392888808,28.627172172524077,59.56232095730921,0.48001853626137964,0.4332131799272861,12.0,1.0,0.25,0.35162461297455017,0.15,usgs-hecras-geometry-openlimno-builtin-1d,0.060000000000000005,8.02300850165915e-05
0,2019-09-24,clinch_main_stem_4548_424,clinch_main_stem,2,Clinch River,Main Stem,4548.424,50.79800000000023,2658.4088375923648,2.62,348.67263213049085,0.5200946528521467,0.09625953164124604,27.218083812879907,52.332942981856625,0.5177731825985317,0.4641997266704936,12.0,1.0,0.25,0.36246990433467274,0.15,usgs-hecras-geometry-openlimno-builtin-1d,0.060000000000000005,8.02300850165915e-05
0,2019-09-24,clinch_main_stem_4498_432,clinch_main_stem,2,Clinch River,Main Stem,4498.432,50.32699999999977,2573.2571265451425,2.62,348.28914489756835,0.5267084907855216,0.09728566020452514,26.93099881824242,51.13074744262829,0.5260742313026235,0.46993870041574504,12.0,1.0,0.25,0.36447854514551076,0.15,usgs-hecras-geometry-openlimno-builtin-1d,0.060000000000000005,8.02300850165915e-05
0,2019-09-24,clinch_main_stem_4447_77,clinch_main_stem,2,Clinch River,Main Stem,4447.77,46.873999999999796,2149.70449009797,2.62,348.10689830835554,0.5622511811861041,0.10160712591063661,25.78559305283655,45.861340830694616,0.5615158646535803,0.49784473705424803,12.0,1.0,0.25,0.3742456579689868,0.15,usgs-hecras-geometry-openlimno-builtin-1d,0.060000000000000005,8.02300850165915e-05
0,2019-09-24,clinch_main_stem_4404_684,clinch_main_stem,2,Clinch River,Main Stem,4404.684,45.24200000000019,2061.293737759475,2.62,348.0123170576766,0.5644295263183358,0.1018810655410341,25.716260289256166,45.56150784137453,0.5637837169146945,0.4995742391423659,12.0,1.0,0.25,0.37485098369982806,0.15,usgs-hecras-geometry-openlimno-builtin-1d,0.060000000000000005,8.02300850165915e-05
0,2019-09-24,clinch_main_stem_4357_286,clinch_main_stem,2,Clinch River,Main Stem,4357.286,50.25600000000031,2969.4309482966873,2.62,347.9024599074627,0.48311063957468886,0.09178450661554474,28.545122664049636,59.08609814343897,0.4820884332370921,0.43508535759859185,12.0,1.0,0.25,0.35227987515950715,0.15,usgs-hecras-geometry-openlimno-builtin-1d,0.060000000000000005,8.02300850165915e-05
0,2019-09-24,clinch_main_stem_4304_172,clinch_main_stem,2,Clinch River,Main Stem,4304.172,53.11400000000049,2224.100307786829,2.62,347.7281558013382,0.5941353317049117,0.10531022746821893,24.878875138605864,41.87408795772882,0.5924882627170395,0.5223710392474601,12.0,1.0,0.25,0.38282986373661104,0.15,usgs-hecras-geometry-openlimno-builtin-1d,0.060000000000000005,8.02300850165915e-05
0,2019-09-24,clinch_middle_reach_4279_376,clinch_middle_reach,3,Clinch River,Middle Reach,4279.376,23.74200000000019,1379.5464384499003,3.49,347.4695392675888,0.5796037821470467,0.10362754093144144,33.67830567656658,58.105738288682055,0.5783446125022539,0.5112148817226576,12.0,1.0,0.25,0.37892520860293016,0.15,usgs-hecras-geometry-openlimno-builtin-1d,0.060000000000000005,8.02300850165915e-05
0,2019-09-24,clinch_middle_reach_4255_634,clinch_middle_reach,3,Clinch River,Middle Reach,4255.634,37.95600000000013,2015.1839682753691,3.49,347.34484368311536,0.6119278337959647,0.10742143699724281,32.48885974304717,53.092632739892565,0.610394168383764,0.5361373997449603,12.0,1.0,0.25,0.3876480899107361,0.15,usgs-hecras-geometry-openlimno-builtin-1d,0.060000000000000005,8.02300850165915e-05
0,2019-09-24,clinch_middle_reach_4203_464,clinch_middle_reach,3,Clinch River,Middle Reach,4203.464,50.35699999999997,2311.921414615341,3.49,347.2141562332096,0.6678547232598688,0.11382304684127958,30.661628702196197,45.9106264196704,0.6657629109966764,0.5675121588402652,12.0,1.0,0.25,0.3986292555940928,0.15,usgs-hecras-geometry-openlimno-builtin-1d,0.060000000000000005,8.02300850165915e-05
